owner,repository,stars,releases,created_at,url
square,javapoet,10857,0,2013-02-01T16:56:30Z,https://github.com/square/javapoet
clojure,clojure,10835,0,2010-06-29T20:03:33Z,https://github.com/clojure/clojure
aosp-mirror,platform_frameworks_base,10824,0,2008-10-21T18:20:37Z,https://github.com/aosp-mirror/platform_frameworks_base
TooTallNate,Java-WebSocket,10796,19,2010-01-20T23:33:04Z,https://github.com/TooTallNate/Java-WebSocket
alibaba,vlayout,10759,34,2017-02-27T08:11:47Z,https://github.com/alibaba/vlayout
zfile-dev,zfile,10727,67,2019-08-19T13:57:56Z,https://github.com/zfile-dev/zfile
JingMatrix,Vector,10626,5,2023-07-20T18:03:30Z,https://github.com/JingMatrix/Vector
resilience4j,resilience4j,10621,36,2015-06-03T09:21:01Z,https://github.com/resilience4j/resilience4j
android-async-http,android-async-http,10610,3,2011-02-20T03:25:07Z,https://github.com/android-async-http/android-async-http
jeasonlzy,okhttp-OkGo,10588,14,2016-01-15T10:35:24Z,https://github.com/jeasonlzy/okhttp-OkGo
google,auto,10554,67,2013-05-22T21:41:56Z,https://github.com/google/auto
Activiti,Activiti,10525,1000,2012-09-13T11:34:43Z,https://github.com/Activiti/Activiti
lipangit,JiaoZiVideoPlayer,10500,78,2016-02-06T11:04:24Z,https://github.com/lipangit/JiaoZiVideoPlayer
signalapp,Signal-Server,10483,0,2013-12-09T07:10:36Z,https://github.com/signalapp/Signal-Server
tbruyelle,RxPermissions,10437,11,2015-09-29T13:55:09Z,https://github.com/tbruyelle/RxPermissions
SonarSource,sonarqube,10420,70,2011-01-05T11:05:17Z,https://github.com/SonarSource/sonarqube
awsdocs,aws-doc-sdk-examples,10389,0,2016-08-18T19:06:57Z,https://github.com/awsdocs/aws-doc-sdk-examples
iflytek,astron-agent,10368,13,2025-09-19T08:46:01Z,https://github.com/iflytek/astron-agent
JessYanCoding,MVPArms,10261,25,2016-08-06T08:49:56Z,https://github.com/JessYanCoding/MVPArms
ZCShou,GoGoGo,10225,8,2021-12-03T06:59:39Z,https://github.com/ZCShou/GoGoGo
JakeWharton,ViewPagerIndicator,10081,0,2011-08-04T17:13:44Z,https://github.com/JakeWharton/ViewPagerIndicator
stanfordnlp,CoreNLP,10063,19,2013-06-27T21:13:49Z,https://github.com/stanfordnlp/CoreNLP
happydog-intj,JsBridge,9927,0,2015-02-26T12:10:58Z,https://github.com/happydog-intj/JsBridge
xuchengsheng,spring-reading,9921,0,2023-09-15T06:42:44Z,https://github.com/xuchengsheng/spring-reading
wasabeef,glide-transformations,9905,0,2015-01-09T10:33:29Z,https://github.com/wasabeef/glide-transformations
googlesamples,easypermissions,9893,12,2015-12-22T18:05:53Z,https://github.com/googlesamples/easypermissions
paascloud,paascloud-master,9879,0,2018-03-17T05:40:43Z,https://github.com/paascloud/paascloud-master
hackware1993,MagicIndicator,9809,12,2016-06-26T08:20:43Z,https://github.com/hackware1993/MagicIndicator
OpenFeign,feign,9783,49,2013-06-26T23:28:16Z,https://github.com/OpenFeign/feign
HarlonWang,AVLoadingIndicatorView,9773,1,2015-10-24T20:18:33Z,https://github.com/HarlonWang/AVLoadingIndicatorView
lihengming,spring-boot-api-project-seed,9714,4,2017-06-23T10:06:30Z,https://github.com/lihengming/spring-boot-api-project-seed
spinnaker,spinnaker,9712,30,2014-07-02T19:02:36Z,https://github.com/spinnaker/spinnaker
YoKeyword,Fragmentation,9703,30,2016-02-23T08:54:55Z,https://github.com/YoKeyword/Fragmentation
apache,cassandra,9688,0,2009-05-21T02:10:09Z,https://github.com/apache/cassandra
AutoMQ,automq,9679,82,2023-08-17T07:50:13Z,https://github.com/AutoMQ/automq
flyway,flyway,9674,292,2012-12-14T18:43:22Z,https://github.com/flyway/flyway
perwendel,spark,9662,0,2011-05-05T11:52:05Z,https://github.com/perwendel/spark
koral--,android-gif-drawable,9651,63,2013-01-30T01:37:46Z,https://github.com/koral--/android-gif-drawable
react-native-camera,react-native-camera,9641,144,2015-04-01T00:54:40Z,https://github.com/react-native-camera/react-native-camera
ksoichiro,Android-ObservableScrollView,9621,0,2014-11-08T14:45:20Z,https://github.com/ksoichiro/Android-ObservableScrollView
bilibili,DanmakuFlameMaster,9611,5,2013-08-11T12:18:50Z,https://github.com/bilibili/DanmakuFlameMaster
seven332,EhViewer,9568,97,2014-05-14T12:03:52Z,https://github.com/seven332/EhViewer
MyCATApache,Mycat-Server,9543,7,2014-12-04T02:46:54Z,https://github.com/MyCATApache/Mycat-Server
liaohuqiu,android-Ultra-Pull-To-Refresh,9527,8,2014-11-13T03:13:10Z,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
spring-projects,spring-security,9494,249,2012-01-10T21:50:57Z,https://github.com/spring-projects/spring-security
crossoverJie,cim,9488,9,2018-05-20T15:55:56Z,https://github.com/crossoverJie/cim
umano,AndroidSlidingUpPanel,9474,8,2013-05-31T18:33:53Z,https://github.com/umano/AndroidSlidingUpPanel
Justson,AgentWeb,9412,21,2017-05-12T07:45:56Z,https://github.com/Justson/AgentWeb
json-path,JsonPath,9401,12,2011-01-24T13:19:19Z,https://github.com/json-path/JsonPath
pockethub,PocketHub,9375,1,2011-09-08T16:52:50Z,https://github.com/pockethub/PocketHub
